City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Conditions
331,Hamilton,US,39.1834,-84.5333,71.08,62,0,12.66,clear sky
332,Kichera,RU,55.9375,110.0997,47.79,71,7,1.19,clear sky
333,Asau,RO,46.4333,26.4,68.92,55,100,3.24,overcast clouds
334,Nelson Bay,AU,-32.7167,152.15,55.99,99,31,4.38,scattered clouds
335,Havre-Saint-Pierre,CA,50.2334,-63.5986,53.96,43,0,9.22,clear sky
336,Vardo,NO,70.3705,31.1107,40.98,81,0,16.11,clear sky
337,Waipawa,NZ,-41.4122,175.5153,43.32,88,0,5.39,clear sky
338,Faanui,PF,-16.4833,-151.75,80.92,71,5,16.42,clear sky
339,Manbij,SY,36.5281,37.9549,76.03,24,9,18.21,clear sky
340,Tual,ID,-5.6667,132.75,83.53,77,100,10.25,overcast clouds
341,Grindavik,IS,63.8424,-22.4338,46.87,76,100,4.61,overcast clouds
342,Ronnenberg,DE,52.3194,9.6554,67.98,60,40,9.22,scattered clouds
343,Hirado,JP,33.3597,129.5531,69.39,81,95,9.13,overcast clouds
344,Brodokalmak,RU,55.5748,62.082,58.1,97,100,7.27,light rain
345,Acapulco,MX,16.8634,-99.8901,85.82,66,40,4.61,scattered clouds
346,Broome,US,42.2506,-75.833,68.2,59,100,9.22,overcast clouds
