City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
515,Antalaha,-14.9003,50.2788,71.51,79,5,8.52,MG,2022-05-23 16:52:07
516,Hong Gai,20.956,107.0946,82.31,91,82,6.73,VN,2022-05-23 16:52:08
517,Chenghai,23.4632,116.768,73.31,94,75,6.71,CN,2022-05-23 16:52:08
518,Noyabrsk,63.1994,75.4507,48.43,72,86,10.47,RU,2022-05-23 16:52:09
519,Horsham,51.064,-0.3272,65.25,71,20,10.36,GB,2022-05-23 16:52:09
520,Ahipara,-35.1667,173.1667,53.82,69,66,5.08,NZ,2022-05-23 16:52:09
521,Luanda,-8.8368,13.2343,73.63,79,100,10.74,AO,2022-05-23 16:52:10
522,Tabas,33.5959,56.9244,85.08,9,0,3.89,IR,2022-05-23 16:52:10
523,Nizwa,22.9333,57.5333,91.99,8,0,0.72,OM,2022-05-23 16:52:10
524,Creston,41.0586,-94.3614,60.76,44,0,14.97,US,2022-05-23 16:52:12
525,Lekoni,-1.5843,14.2591,75.15,73,100,5.73,GA,2022-05-23 16:52:12
526,Ronne,55.1009,14.7066,58.91,67,45,14.97,DK,2022-05-23 16:52:13
527,Dutse,11.7594,9.3392,98.65,15,59,4.74,NG,2022-05-23 16:52:13
528,Narsaq,60.9167,-46.05,36.07,79,90,4.43,GL,2022-05-23 16:52:13
529,Berbera,10.4396,45.0143,90.03,45,66,2.98,SO,2022-05-23 16:52:14
530,Sur,22.5667,59.5289,91.0,52,0,4.92,OM,2022-05-23 16:52:14
531,Bandarbeyla,9.4942,50.8122,81.07,83,67,28.14,SO,2022-05-23 16:52:14
532,Port-Cartier,50.0334,-66.8654,52.75,40,60,9.48,CA,2022-05-23 16:52:15
533,Macapa,0.0389,-51.0664,85.98,74,75,8.05,BR,2022-05-23 16:52:15
534,Blagoyevo,63.3667,47.9167,36.19,98,100,5.08,RU,2022-05-23 16:52:15
535,Zhezkazgan,47.8043,67.7144,62.96,23,41,9.62,KZ,2022-05-23 16:52:16
536,Gazanjyk,39.2446,55.5154,87.73,16,67,14.23,TM,2022-05-23 16:52:16
537,Chirongui,-12.9319,45.1483,82.33,71,100,3.42,YT,2022-05-23 16:52:16
538,Letka,59.6011,49.4232,35.44,91,100,2.13,RU,2022-05-23 16:52:17
539,Niono,14.2526,-5.993,97.32,28,36,11.16,ML,2022-05-23 16:52:17
540,Pochutla,15.7432,-96.4661,90.82,35,1,9.24,MX,2022-05-23 16:52:18
541,Bayji,34.9311,43.487,79.3,26,1,4.16,IQ,2022-05-23 16:53:18
542,North Platte,41.1239,-100.7654,48.09,94,100,14.0,US,2022-05-23 16:53:05
543,Saint-Georges,12.0564,-61.7485,83.88,74,40,20.71,GD,2022-05-23 16:50:00
544,Ucluelet,48.9329,-125.5528,53.1,86,70,1.99,CA,2022-05-23 16:53:18
545,Lakeway,30.3638,-97.9796,79.77,74,100,7.0,US,2022-05-23 16:53:19
546,Judenburg,47.1667,14.6667,70.52,56,75,4.61,AT,2022-05-23 16:53:19
